ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1451.9528964897,-1061.1477684522922,4448.363678270952,1451.9528964897,1451.9528964897,96.33509595658505,96.33509595658505,96.33509595658505,419.72004708049496,419.72004708049496,419.72004708049496,-323.38495112390996,-323.38495112390996,-323.38495112390996,0.0,0.0,0.0,1548.287992446285
2014-01-04,1452.070317745445,-1597.4599500678119,3744.5834403956906,1452.070317745445,1452.070317745445,-399.0017582645043,-399.0017582645043,-399.0017582645043,21.484394081438335,21.484394081438335,21.484394081438335,-420.4861523459426,-420.4861523459426,-420.4861523459426,0.0,0.0,0.0,1053.0685594809406
2014-01-05,1452.1877390011898,-1463.0304433268036,4079.58188255402,1452.1877390011898,1452.1877390011898,-307.3840983003067,-307.3840983003067,-307.3840983003067,203.64848850362958,203.64848850362958,203.64848850362958,-511.0325868039362,-511.0325868039362,-511.0325868039362,0.0,0.0,0.0,1144.803640700883
2014-01-06,1452.3051602569349,-1497.0783305842542,3857.5997495563806,1452.3051602569349,1452.3051602569349,-182.21060818130078,-182.21060818130078,-182.21060818130078,411.6108669632236,411.6108669632236,411.6108669632236,-593.8214751445244,-593.8214751445244,-593.8214751445244,0.0,0.0,0.0,1270.094552075634
2014-01-07,1452.4225815126797,-2146.7539737198585,3298.735321404711,1452.4225815126797,1452.4225815126797,-839.8311996139793,-839.8311996139793,-839.8311996139793,-172.03416700329743,-172.03416700329743,-172.03416700329743,-667.7970326106818,-667.7970326106818,-667.7970326106818,0.0,0.0,0.0,612.5913818987004
2014-01-09,1452.6574240241696,-2040.945782523441,3654.46270444469,1452.6574240241696,1452.6574240241696,-629.9340653448485,-629.9340653448485,-629.9340653448485,156.0360359549964,156.0360359549964,156.0360359549964,-785.9701012998449,-785.9701012998449,-785.9701012998449,0.0,0.0,0.0,822.7233586793211
2014-01-10,1452.7748452799146,-1699.043995957533,3918.650841053251,1452.7748452799146,1452.7748452799146,-409.2826520412594,-409.2826520412594,-409.2826520412594,419.7200470810094,419.7200470810094,419.7200470810094,-829.0026991222688,-829.0026991222688,-829.0026991222688,0.0,0.0,0.0,1043.4921932386553
2014-01-11,1452.8922665356597,-1951.8034371557255,3333.522660989535,1452.8922665356597,1452.8922665356597,-839.4383431704184,-839.4383431704184,-839.4383431704184,21.484394082035003,21.484394082035003,21.484394082035003,-860.9227372524534,-860.9227372524534,-860.9227372524534,0.0,0.0,0.0,613.4539233652413
2014-01-13,1453.1271090471494,-1901.6061161441673,3714.8219546813243,1453.1271090471494,1453.1271090471494,-479.9768255904103,-479.9768255904103,-479.9768255904103,411.6108669628705,411.6108669628705,411.6108669628705,-891.5876925532808,-891.5876925532808,-891.5876925532808,0.0,0.0,0.0,973.1502834567391
2014-01-14,1453.2445303028946,-2428.9495301704287,3196.673425355377,1453.2445303028946,1453.2445303028946,-1063.0333186994042,-1063.0333186994042,-1063.0333186994042,-172.03416700446041,-172.03416700446041,-172.03416700446041,-890.9991516949437,-890.9991516949437,-890.9991516949437,0.0,0.0,0.0,390.2112116034905
2014-01-15,1453.3619515586395,-3255.57788457667,2204.922992944307,1453.3619515586395,1453.3619515586395,-1921.0850367088171,-1921.0850367088171,-1921.0850367088171,-1040.4656655836045,-1040.4656655836045,-1040.4656655836045,-880.619371125213,-880.619371125213,-880.619371125213,0.0,0.0,0.0,-467.72308515017767
2014-01-16,1453.4793728143843,-1866.5914503174379,3566.6131883190924,1453.4793728143843,1453.4793728143843,-705.2948669227994,-705.2948669227994,-705.2948669227994,156.03603595508415,156.03603595508415,156.03603595508415,-861.3309028778835,-861.3309028778835,-861.3309028778835,0.0,0.0,0.0,748.1845058915849
2014-01-18,1453.7142153258744,-2281.1128391095917,3409.1324442196624,1453.7142153258744,1453.7142153258744,-779.0021653196649,-779.0021653196649,-779.0021653196649,21.484394081134514,21.484394081134514,21.484394081134514,-800.4865594007994,-800.4865594007994,-800.4865594007994,0.0,0.0,0.0,674.7120500062096
2014-01-19,1453.8316365816193,-2055.500677626766,3547.226912094789,1453.8316365816193,1453.8316365816193,-557.9000882912856,-557.9000882912856,-557.9000882912856,203.64848850391283,203.64848850391283,203.64848850391283,-761.5485767951984,-761.5485767951984,-761.5485767951984,0.0,0.0,0.0,895.9315482903337
2014-01-20,1453.9490578373643,-1578.6465529545176,3847.731317219214,1453.9490578373643,1453.9490578373643,-307.26724670912637,-307.26724670912637,-307.26724670912637,411.6108669638079,411.6108669638079,411.6108669638079,-718.8781136729343,-718.8781136729343,-718.8781136729343,0.0,0.0,0.0,1146.681811128238
2014-01-21,1454.0664790931091,-2255.064571745509,3391.8798580724997,1454.0664790931091,1454.0664790931091,-846.0672908032025,-846.0672908032025,-846.0672908032025,-172.03416700290015,-172.03416700290015,-172.03416700290015,-674.0331238003022,-674.0331238003022,-674.0331238003022,0.0,0.0,0.0,607.9991882899067
